               Name                      E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
    L20G012T64-0_G017T34-0_C9ES       10711.718        0.261        3507.256       13132.898      4638.277       3507.256         0.347          1.211       0.00750269   
    L20G012T64-0_G017T34-1_C9ES       7984.474         0.186         2181.99       8726.225       1993.953        2181.99         0.285          1.543       0.00615181   
    L20G012T64-0_G017T34-4_C9ES       7526.642         0.195        1896.481       8311.883       2013.437       1896.481         0.285          1.661       0.00616613   
    L20G012T64-0_G017T34-5_C9ES       10910.715        0.259        3718.282       13322.896      4656.721       3718.282         0.347          1.165       0.00750269   
    L20G012T64-0_G023T34-1_C9ES       11288.933        0.187        1655.024       12351.463      2840.988       1655.024         0.311          2.873       0.00672214   
    L20G012T64-0_G023T34-2_C9ES       11772.864        0.182        2166.326       12810.345      2850.224       2166.326         0.31           2.299       0.00670434   
    L20G012T64-0_G025T34-1_C9ES       11933.942        0.209         2213.96       13415.632      3544.712        2213.96         0.332          2.229       0.00716467   
    L20G012T64-0_G025T34-2_C9ES       10673.418        0.152        1799.099       11288.537      2023.417       1799.099         0.29           2.575       0.00625597   
    L20G012T64-0_G025T34-4_C9ES       10258.273        0.153        1189.947       10858.476      1961.448       1189.947         0.291          3.738       0.00627627   
    L20G012T64-0_G025T34-5_C9ES       12322.141        0.203        2474.875       13743.344       3500.5        2474.875         0.331          2.069        0.0071565   
    L20G012T64-0_G027T34-0_C9ES       12119.192        0.213        2438.031       13698.585      3707.495       2438.031         0.342          2.049       0.00738782   
    L20G012T64-0_G027T34-1_C9ES       9973.915         0.139        1615.637       10442.582      1685.852       1615.637         0.279          2.71        0.00603115   
    L20G012T64-0_G027T34-2_C9ES       9602.436         0.136        1018.038       10031.952      1579.104       1018.038         0.28           4.152       0.00605229   
    L20G012T64-0_G027T34-3_C9ES       12395.035        0.205        2565.516       13860.402      3574.066       2565.516         0.342          2.005       0.00738362   
    L20G012T64-0_G18T34-1_C9ES        8809.078         0.24         2564.973       10382.908      3278.813       2564.973         0.307          1.385       0.00663188   
          L20G012T64-10ES             4792.546         0.329        3120.743       7075.184       3469.054       3120.743         0.308          0.578       0.00666241   
   L20G012T64-10_G013T34-1_C9ES       12134.976        0.268        5717.472       15097.769      5527.598       5717.472         0.426          0.837       0.00920746   
   L20G012T64-10_G015T34-15_C9ES      13331.731        0.274        6201.542       16807.971      6343.504       6201.542         0.445          0.844       0.00961716   
   L20G012T64-10_G017T34-5_C9ES       13858.976        0.279        6475.192       17675.577      6839.786       6475.192         0.455          0.837       0.00982918   
   L20G012T64-10_G023T34-2_C9ES       13323.984        0.258        4846.082       16237.232       5645.83       4846.082         0.408          1.093       0.00882266   
   L20G012T64-10_G025T34-5_C9ES       13681.614        0.265        5159.692       16913.609      6098.104       5159.692         0.427          1.048       0.00921927   
   L20G012T64-10_G027T34-3_C9ES       13799.838        0.268        5332.176       17169.112      6285.959       5332.176         0.436          1.021       0.00942788   
          L20G012T64-1ES              18446.694        0.254        6712.722       22304.615      7594.333       6712.722         0.485          1.096       0.01048114   
          L20G012T64-2ES               4812.84          0.1          502.869       4922.223        546.914        502.869         0.134          4.35        0.00289115   
    L20G012T64-2_G013T34-0_C9ES       8884.128         0.258        3336.615       10826.615       3764.51       3336.615         0.31           1.058       0.00669769   
   L20G012T64-2_G015T34-11_C9ES       7804.234         0.239        2919.336       9182.758       2883.941       2919.336         0.29           1.079       0.00625732   
    L20G012T64-2_G015T34-2_C9ES       10124.845        0.265        3641.942       12516.628      4512.798       3641.942         0.33           1.099       0.00712627   
    L20G012T64-2_G017T34-0_C9ES       10837.125        0.264        3797.666       13369.12       4795.445       3797.666         0.339          1.129       0.00732877   
    L20G012T64-2_G017T34-4_C9ES       7361.109         0.227        2652.974       8493.477       2494.204       2652.974         0.279          1.131       0.00603517   
    L20G012T64-2_G023T34-2_C9ES       10102.835        0.16         1318.251       10758.597      2049.257       1318.251         0.289          3.303       0.00624696   
    L20G012T64-2_G025T34-2_C9ES        8899.25         0.113         894.646       9163.068       1167.336        894.646         0.268          4.469       0.00579859   
