         Name                 E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
    L20G012T64-0_G017T34-0_C9S        6984.921         0.265        2216.599       8634.962       3113.286       2216.599         0.249          1.246       0.00537946   
    L20G012T64-0_G017T34-1_C9S        5293.887         0.186        1409.061       5785.684       1322.036       1409.061         0.204          1.584       0.00441457   
    L20G012T64-0_G017T34-4_C9S        5069.682         0.192        1219.986       5578.727       1325.638       1219.986         0.205          1.743       0.00441933   
    L20G012T64-0_G017T34-5_C9S        7106.439         0.262        2342.169        8730.56       3099.467       2342.169         0.249          1.202       0.00537946   
    L20G012T64-0_G023T34-1_C9S        7620.172         0.183         975.542       8300.664       1859.267        975.542         0.224          3.301       0.00484195   
    L20G012T64-0_G023T34-2_C9S        7872.375         0.182         1357.06       8566.127       1905.911        1357.06         0.224          2.454       0.00483605   
    L20G012T64-0_G025T34-1_C9S        8024.564         0.205        1284.239       8973.245       2313.856       1284.239         0.239          2.593       0.00516101   
    L20G012T64-0_G025T34-2_C9S        7151.643         0.148         1110.05       7539.297       1309.643        1110.05         0.209          2.806       0.00451499   
    L20G012T64-0_G025T34-4_C9S        6939.641         0.149         691.365       7321.658       1281.935        691.365         0.209          4.368       0.00452179   
    L20G012T64-0_G025T34-5_C9S        8223.138         0.204        1547.878       9183.378       2353.529       1547.878         0.239          2.206       0.00515829   
    L20G012T64-0_G027T34-0_C9S        8122.616         0.209        1395.178        9131.1        2412.642       1395.178         0.246          2.408       0.00532116   
    L20G012T64-0_G027T34-1_C9S        6716.611         0.133         993.003       7002.342       1074.177        993.003         0.202          2.985       0.00435425   
    L20G012T64-0_G027T34-2_C9S        6515.823         0.131         589.825       6783.754       1022.637        589.825         0.202          4.884       0.00436136   
    L20G012T64-0_G027T34-3_C9S        8270.405         0.206         1600.48       9260.249       2402.533        1600.48         0.246          2.142       0.00531977   
     L20G012T64-0_G18T34-1_C9S        5719.935         0.233        1544.641       6663.189        2024.15       1544.641         0.224          1.502       0.00483053   
          L20G012T64-10S              2933.337         0.338        2095.892       4479.389        2287.06       2095.892         0.236          0.523       0.00509048   
    L20G012T64-10_G013T34-1_C9S       7633.621         0.278        3885.399       9713.013       3739.914       3885.399         0.334          0.769       0.00720936   
   L20G012T64-10_G015T34-15_C9S       8355.818         0.285        4188.875       10812.433      4309.851       4188.875         0.348          0.776       0.00751752   
    L20G012T64-10_G017T34-5_C9S       8685.452         0.291        4356.036       11411.327      4683.633       4356.036         0.355          0.772       0.00767397   
    L20G012T64-10_G023T34-2_C9S       9107.134         0.254        3239.344       11011.79       3749.323       3239.344         0.321          1.121       0.00694349   
    L20G012T64-10_G025T34-5_C9S       9359.678         0.261        3421.797       11475.255       4052.83       3421.797         0.336          1.085       0.00724731   
    L20G012T64-10_G027T34-3_C9S        9433.01         0.264        3508.597       11636.946      4174.122       3508.597         0.343          1.064       0.00740263   
           L20G012T64-1S              12181.206        0.252        4578.552       14672.56       4943.162       4578.552         0.368          1.062       0.00795452   
    L20G012T64-1_G012T34-4_C9S        14304.12         0.271        6299.536       17913.384      6659.159       6299.536         0.451          0.893       0.00974081   
    L20G012T64-1_G012T34-7_C9S        16569.242        0.272        7036.866       20796.108      7769.974       7036.866         0.463          0.926       0.01000465   
    L20G012T64-1_G013T34-0_C9S        18430.586        0.222        6598.034       21104.387      6022.074       6598.034         0.466          1.143       0.01006565   
    L20G012T64-1_G015T34-2_C9S        19148.777        0.238        7108.607       22492.829      7025.319       7108.607         0.48           1.088       0.01037381   
    L20G012T64-1_G017T34-0_C9S        19468.611        0.245         7360.71       23149.541      7512.103        7360.71         0.488          1.062       0.01053026   
    L20G012T64-1_G023T34-1_C9S        15492.698        0.257        5291.542       18842.752      6517.614       5291.542         0.431          1.165       0.00932014   
    L20G012T64-1_G025T34-1_C9S        15754.255        0.26         5489.913       19276.04       6772.663       5489.913         0.446          1.139       0.00962396   
    L20G012T64-1_G027T34-0_C9S        15828.81         0.262        5585.147       19446.36       6903.721       5585.147         0.453          1.123       0.00977929   
           L20G012T64-2S              3393.188         0.096         340.863       3463.813        367.839        340.863         0.095          4.541       0.00205775   
    L20G012T64-2_G013T34-0_C9S        6029.213         0.251        2183.116       7248.628       2429.113       2183.116         0.224          1.104       0.00483384   
    L20G012T64-2_G015T34-11_C9S        5365.32         0.231        1915.471       6229.908       1871.403       1915.471         0.209          1.138        0.0045155   
    L20G012T64-2_G015T34-2_C9S        6768.621         0.263        2369.931       8332.705       2973.543       2369.931         0.238          1.131       0.00514826   
    L20G012T64-2_G017T34-0_C9S        7164.365         0.264        2459.826       8838.253       3170.243       2459.826         0.245          1.152       0.00530156   
