         Name                 E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
    L20G012T64-0_G013T34-0_C9S        6740.287         0.228        1918.392        7789.3        2300.467       1918.392         0.25           1.431       0.00539444   
    L20G012T64-0_G013T34-1_C9S        7024.216         0.228        2179.545       8117.418       2397.372       2179.545         0.25           1.312       0.00539444   
    L20G012T64-0_G015T34-11_C9S       6002.451         0.204        1553.954       6703.375        1717.95       1553.954         0.234          1.604       0.00504433   
    L20G012T64-0_G015T34-15_C9S       7722.543         0.253        2526.121       9319.721       3156.479       2526.121         0.266          1.22        0.00574896   
    L20G012T64-0_G015T34-2_C9S        7533.416         0.254        2313.192       9108.946       3101.437       2313.192         0.266          1.299       0.00574896   
    L20G012T64-0_G015T34-6_C9S        6308.087          0.2         1788.167       7008.986       1752.246       1788.167         0.233          1.47        0.00503944   
    L20G012T64-0_G017T34-0_C9S        7886.356         0.264        2523.493       9728.931       3489.725       2523.493         0.274          1.236       0.00592574   
    L20G012T64-0_G017T34-1_C9S        5949.432         0.186        1594.245       6502.129       1485.744       1594.245         0.225          1.573       0.00486186   
    L20G012T64-0_G017T34-4_C9S        5675.049         0.193        1382.984       6252.221       1495.265       1382.984         0.225          1.72        0.00486838   
    L20G012T64-0_G017T34-5_C9S        8026.664         0.261        2667.021       9840.939       3475.623       2667.021         0.274          1.193       0.00592574   
    L20G012T64-0_G023T34-1_C9S        8537.593         0.184        1131.877       9310.153       2099.348       1131.877         0.247          3.185       0.00532726   
    L20G012T64-0_G023T34-2_C9S        8828.063         0.182        1545.629       9606.034       2137.284       1545.629         0.246          2.416       0.00531916   
    L20G012T64-0_G025T34-1_C9S        8990.472         0.206        1489.191       10066.497      2611.711       1489.191         0.263          2.503       0.00567836   
    L20G012T64-0_G025T34-2_C9S        8021.868         0.149        1272.717        8463.46       1481.851       1272.717         0.23           2.743       0.00496532   
    L20G012T64-0_G025T34-4_C9S        7766.757         0.149         802.623       8194.305       1434.726        802.623         0.23           4.211       0.00497465   
    L20G012T64-0_G025T34-5_C9S        9235.485         0.203        1767.196       10300.681      2623.637       1767.196         0.263          2.172       0.00567464   
    L20G012T64-0_G027T34-0_C9S        9118.266         0.21         1628.394       10264.221      2728.464       1628.394         0.271          2.314       0.00585476   
    L20G012T64-0_G027T34-1_C9S        7523.529         0.134        1137.231       7849.019       1214.513       1137.231         0.222          2.917       0.00478812   
    L20G012T64-0_G027T34-2_C9S        7290.646         0.133         686.342       7600.797       1165.982        686.342         0.222          4.688       0.00479787   
    L20G012T64-0_G027T34-3_C9S        9289.101         0.206        1829.734       10400.867      2698.462       1829.734         0.271          2.105       0.00585285   
     L20G012T64-0_G18T34-1_C9S        6475.207         0.235         1778.15       7567.846       2324.763        1778.15         0.245          1.474       0.00529837   
          L20G012T64-10S              3371.487         0.336        2350.729       5108.687       2585.119       2350.729         0.255          0.537        0.0055131   
    L20G012T64-10_G013T34-1_C9S       8718.232         0.275        4343.606       11016.502      4178.673       4343.606         0.359          0.787       0.00776339   
   L20G012T64-10_G015T34-15_C9S       9554.135         0.282        4694.924       12272.733       4820.21       4694.924         0.375          0.794       0.00809954   
    L20G012T64-10_G017T34-5_C9S       9926.116         0.288        4885.155       12941.292       5234.68       4885.155         0.383          0.789       0.00827089   
    L20G012T64-10_G023T34-2_C9S       10179.767        0.255        3648.458       12332.59       4221.222       3648.458         0.345          1.112        0.0074604   
