Name,E11,V12,G12,C11,C12,C44,RelDensity,AniRatio,mass,Thickness1,Thickness2
L20G014T64-2_G027T34-3_C9S,5363.853,0.115,1095.962,5529.101,718.471,1095.962,0.24,0.456,0.00517525,0.6,0.6
L20G014T64-3S,1024.967,-0.59,255.247,1823.336,-676.584,255.247,0.144,0.204,0.00311293,0.6,0.6
L20G014T64-3_G025T34-1_C9S,5323.906,0.111,1070.448,5475.685,683.691,1070.448,0.235,0.447,0.00506539,0.6,0.6
L20G014T64-3_G025T34-4_C9S,4426.703,-0.004,794.656,4426.844,-17.637,794.656,0.214,0.358,0.0046267,0.6,0.6
L20G014T64-3_G027T34-0_C9S,5365.213,0.115,1099.251,5530.503,718.653,1099.251,0.24,0.457,0.00517525,0.6,0.6
L20G014T64-3_G027T34-2_C9S,4051.877,-0.051,708.38,4072.032,-197.596,708.38,0.209,0.332,0.00451705,0.6,0.6
L20G014T64-4S,2712.881,0.305,1598.961,3704.592,1625.756,1598.961,0.186,1.538,0.00402126,0.6,0.6
L20G014T64-6S,978.822,0.321,703.681,1405.36,664.39,703.681,0.112,1.899,0.00240882,0.6,0.6
L20G014T64-7S,979.301,0.321,701.623,1406.048,664.715,701.623,0.112,1.893,0.00240882,0.6,0.6
L20G0156T64-0S,153.825,0.08,233.882,155.995,13.565,233.882,0.08,3.284,0.00173567,0.6,0.6
L20G0156T64-1S,154.734,0.084,234.862,157.155,14.412,234.862,0.08,3.291,0.00173568,0.6,0.6
L20G0158T64-0S,2074.7,0.228,692.36,2397.592,708.097,692.36,0.139,0.82,0.00299545,0.6,0.6
L20G0158T64-1S,522.782,0.116,156.291,539.197,70.754,156.291,0.117,0.667,0.00252575,0.6,0.6
L20G0158T64-2S,1497.563,0.248,878.543,1790.432,590.462,878.543,0.161,1.464,0.00347109,0.6,0.6
