Name,E11,V12,G12,C11,C12,C44,RelDensity,AniRatio,mass,Thickness,ID,Type,Fp
L20G02T34-4_G0167T64-2_C9S,7133.275,0.159,1733.972,7589.57,1434.889,1733.972,0.294,1.775,0.00635708,1.0,"[39, 163]","[1, 1, 1, 1, 1, 0]","[10, 0, 10, 10, 10, 10, 5, 10, 5, 5, 0, 5, 10, 0, 10, 5, 0, 10, 5, 2.5, 2.5, 7.5, 2.5, 2.5]"
L20G02T34-4_G0178T64-2_C9S,11328.571,0.158,2709.194,12042.664,2259.787,2709.194,0.412,1.805,0.00889218,1.0,"[39, 183]","[1, 1, 1, 1, 1, 1]","[10, 0, 10, 10, 10, 10, 5, 10, 5, 5, 0, 5, 10, 10, 10, 5, 0, 10, 3.333, 0, 6.667, 2.5, 2.5, 2.5]"
L20G02T34-4_G018T64-1_C9S,9861.077,0.253,3911.508,11900.547,4030.574,3911.508,0.366,1.006,0.00791031,1.0,"[39, 111]","[1, 1, 1, 0, 1, 1]","[10, 0, 10, 10, 10, 10, 5, 10, 5, 5, 0, 5, 0, 0, 0, 10, 5, 10, 6.667, 3.333, 10, 0, 0, 5]"
L20G02T34-4_G018T64-3_C9S,9459.42,0.101,2263.577,9679.078,1087.416,2263.577,0.343,1.898,0.00741819,1.0,"[39, 112]","[1, 1, 1, 0, 1, 0]","[10, 0, 10, 10, 10, 10, 5, 10, 5, 5, 0, 5, 10, 10, 10, 10, 5, 10, 3.333, 0, 6.667, 0, 0, 5]"
L20G02T34-4_G028T64-1_C9S,8021.658,0.104,1022.175,8220.115,954.12,1022.175,0.295,3.554,0.00637088,1.0,"[39, 116]","[1, 1, 1, 0, 1, 0]","[10, 0, 10, 10, 10, 10, 5, 10, 5, 5, 0, 5, 10, 10, 10, 5, 0, 5, 3.333, 0, 6.667, 5, 5, 10]"
L20G02T34-4_G046T64-0_C9S,11130.377,0.169,2693.519,11951.94,2430.659,2693.519,0.353,1.767,0.00763232,1.0,"[39, 93]","[1, 1, 1, 1, 1, 0]","[10, 0, 10, 10, 10, 10, 5, 10, 5, 5, 0, 5, 0, 0, 10, 10, 0, 10, 5, 2.5, 5, 2.5, 2.5, 5]"
L20G02T34-4_G048T64-1_C9S,12819.366,0.137,1483.331,13402.328,2127.6,1483.331,0.356,3.8,0.00769912,1.0,"[39, 120]","[1, 1, 1, 0, 1, 0]","[10, 0, 10, 10, 10, 10, 5, 10, 5, 5, 0, 5, 10, 10, 10, 10, 0, 10, 3.333, 0, 6.667, 5, 5, 7.5]"
L20G02T34-4_G058T64-3_C9S,10778.568,0.244,4476.832,12793.593,4129.149,4476.832,0.368,0.968,0.007948,1.0,"[39, 124]","[1, 1, 1, 0, 1, 1]","[10, 0, 10, 10, 10, 10, 5, 10, 5, 5, 0, 5, 0, 0, 0, 10, 0, 10, 6.667, 3.333, 10, 3.333, 3.333, 6.667]"
L20G02T34-4_G058T64-7_C9S,14238.057,0.145,2039.305,14974.523,2539.539,2039.305,0.375,3.049,0.00809644,1.0,"[39, 128]","[1, 1, 1, 0, 1, 0]","[10, 0, 10, 10, 10, 10, 5, 10, 5, 5, 0, 5, 10, 10, 10, 10, 0, 10, 3.333, 0, 6.667, 3.333, 3.333, 6.667]"
L20G02T34-4_G068T64-1_C9S,9787.617,0.239,3724.504,11516.481,3616.871,3724.504,0.354,1.06,0.00763649,1.0,"[39, 130]","[1, 1, 1, 0, 1, 1]","[10, 0, 10, 10, 10, 10, 5, 10, 5, 5, 0, 5, 0, 0, 0, 10, 0, 10, 6.667, 3.333, 10, 2.5, 2.5, 5]"
